,product,region,year_month,mean_weighted_price
305,ground beef,NATIONAL,2023-12,4.350666666666666
306,ground beef,NORTHEAST U.S.,2023-01,4.226666666666667
307,ground beef,NORTHEAST U.S.,2023-02,4.39513888888889
308,ground beef,NORTHEAST U.S.,2023-03,4.501444444444445
309,ground beef,NORTHEAST U.S.,2023-04,4.4127777777777775
310,ground beef,NORTHEAST U.S.,2023-05,4.429027777777779
311,ground beef,NORTHEAST U.S.,2023-06,4.537277777777778
312,ground beef,NORTHEAST U.S.,2023-07,4.499305555555556
313,ground beef,NORTHEAST U.S.,2023-08,4.679444444444445
314,ground beef,NORTHEAST U.S.,2023-09,4.543777777777778
315,ground beef,NORTHEAST U.S.,2023-10,4.615138888888889
316,ground beef,NORTHEAST U.S.,2023-11,4.821527777777778
317,ground beef,NORTHEAST U.S.,2023-12,4.314333333333334
318,ground beef,NORTHWEST U.S.,2023-01,4.338333333333334
319,ground beef,NORTHWEST U.S.,2023-02,4.530555555555555
320,ground beef,NORTHWEST U.S.,2023-03,3.9600000000000004
321,ground beef,NORTHWEST U.S.,2023-04,4.431805555555556
322,ground beef,NORTHWEST U.S.,2023-05,4.708333333333333
323,ground beef,NORTHWEST U.S.,2023-06,4.02525
324,ground beef,NORTHWEST U.S.,2023-07,4.137777777777778
325,ground beef,NORTHWEST U.S.,2023-08,3.9970833333333338
326,ground beef,NORTHWEST U.S.,2023-09,4.3021111111111106
327,ground beef,NORTHWEST U.S.,2023-10,4.570277777777778
328,ground beef,NORTHWEST U.S.,2023-11,4.815
329,ground beef,NORTHWEST U.S.,2023-12,4.321777777777778
330,ground beef,SOUTH CENTRAL U.S.,2023-01,4.067638888888889
331,ground beef,SOUTH CENTRAL U.S.,2023-02,3.7184722222222226
332,ground beef,SOUTH CENTRAL U.S.,2023-03,4.023333333333333
333,ground beef,SOUTH CENTRAL U.S.,2023-04,4.0740625
334,ground beef,SOUTH CENTRAL U.S.,2023-05,4.1362499999999995
335,ground beef,SOUTH CENTRAL U.S.,2023-06,4.644666666666667
336,ground beef,SOUTH CENTRAL U.S.,2023-07,4.4743055555555555
337,ground beef,SOUTH CENTRAL U.S.,2023-08,4.272083333333334
338,ground beef,SOUTH CENTRAL U.S.,2023-09,4.568222222222222
339,ground beef,SOUTH CENTRAL U.S.,2023-10,4.277083333333334
340,ground beef,SOUTH CENTRAL U.S.,2023-11,4.274305555555556
341,ground beef,SOUTH CENTRAL U.S.,2023-12,4.246666666666667
342,ground beef,SOUTHEAST U.S.,2023-01,3.9493055555555556
343,ground beef,SOUTHEAST U.S.,2023-02,4.345
344,ground beef,SOUTHEAST U.S.,2023-03,4.390888888888889
345,ground beef,SOUTHEAST U.S.,2023-04,4.668611111111111
346,ground beef,SOUTHEAST U.S.,2023-05,4.9075
347,ground beef,SOUTHEAST U.S.,2023-06,4.629888888888889
348,ground beef,SOUTHEAST U.S.,2023-07,4.779583333333334
349,ground beef,SOUTHEAST U.S.,2023-08,4.573194444444444
350,ground beef,SOUTHEAST U.S.,2023-09,4.6433333333333335
351,ground beef,SOUTHEAST U.S.,2023-10,4.698611111111112
352,ground beef,SOUTHEAST U.S.,2023-11,5.0125
353,ground beef,SOUTHEAST U.S.,2023-12,4.709888888888889
354,ground beef,SOUTHWEST U.S.,2023-01,4.387083333333334
355,ground beef,SOUTHWEST U.S.,2023-02,4.27125
356,ground beef,SOUTHWEST U.S.,2023-03,4.553583333333333
357,ground beef,SOUTHWEST U.S.,2023-04,4.180555555555556
358,ground beef,SOUTHWEST U.S.,2023-05,4.175972222222222
359,ground beef,SOUTHWEST U.S.,2023-06,4.418666666666667
360,ground beef,SOUTHWEST U.S.,2023-07,4.603750000000001
361,ground beef,SOUTHWEST U.S.,2023-08,4.29625
362,ground beef,SOUTHWEST U.S.,2023-09,4.63
363,ground beef,SOUTHWEST U.S.,2023-10,4.703611111111111
364,ground beef,SOUTHWEST U.S.,2023-11,4.751342592592593
365,ground beef,SOUTHWEST U.S.,2023-12,4.748
383,lettuce per pound,HAWAII,2023-04,1.99
384,lettuce per pound,HAWAII,2023-05,1.59
385,lettuce per pound,HAWAII,2023-06,1.89
386,lettuce per pound,HAWAII,2023-08,1.39
387,lettuce per pound,MIDWEST U.S.,2023-01,1.99
388,lettuce per pound,MIDWEST U.S.,2023-02,1.9
389,lettuce per pound,MIDWEST U.S.,2023-03,1.89
390,lettuce per pound,MIDWEST U.S.,2023-04,1.79
391,lettuce per pound,MIDWEST U.S.,2023-05,1.49
392,lettuce per pound,MIDWEST U.S.,2023-06,1.4233333333333331
393,lettuce per pound,MIDWEST U.S.,2023-07,1.4633333333333332
394,lettuce per pound,MIDWEST U.S.,2023-08,1.7875
395,lettuce per pound,MIDWEST U.S.,2023-09,1.77
396,lettuce per pound,NATIONAL,2023-01,2.3375
397,lettuce per pound,NATIONAL,2023-02,2.010416666666667
398,lettuce per pound,NATIONAL,2023-03,2.0683333333333334
399,lettuce per pound,NATIONAL,2023-04,1.5916666666666668
400,lettuce per pound,NATIONAL,2023-05,1.3599999999999999
401,lettuce per pound,NATIONAL,2023-06,1.6886666666666665
402,lettuce per pound,NATIONAL,2023-07,1.5733333333333333
403,lettuce per pound,NATIONAL,2023-08,1.745
404,lettuce per pound,NATIONAL,2023-09,1.82
405,lettuce per pound,NORTHEAST U.S.,2023-01,2.99
406,lettuce per pound,NORTHEAST U.S.,2023-02,2.145
407,lettuce per pound,NORTHEAST U.S.,2023-03,2.2525000000000004
408,lettuce per pound,NORTHEAST U.S.,2023-04,1.49
409,lettuce per pound,NORTHEAST U.S.,2023-05,1.225
410,lettuce per pound,NORTHEAST U.S.,2023-06,1.718
411,lettuce per pound,NORTHEAST U.S.,2023-07,1.6758333333333333
412,lettuce per pound,NORTHEAST U.S.,2023-08,1.7325
413,lettuce per pound,NORTHEAST U.S.,2023-09,1.84
414,lettuce per pound,NORTHWEST U.S.,2023-01,1.5
415,lettuce per pound,NORTHWEST U.S.,2023-06,1.5
416,lettuce per pound,NORTHWEST U.S.,2023-07,1.5
417,lettuce per pound,SOUTH CENTRAL U.S.,2023-02,2.49
418,lettuce per pound,SOUTH CENTRAL U.S.,2023-03,2.48
419,lettuce per pound,SOUTH CENTRAL U.S.,2023-06,1.78
420,lettuce per pound,SOUTH CENTRAL U.S.,2023-08,1.48
421,lettuce per pound,SOUTHEAST U.S.,2023-05,1.49
422,lettuce per pound,SOUTHEAST U.S.,2023-07,1.8233333333333333
423,lettuce per pound,SOUTHEAST U.S.,2023-08,1.49
597,pork breakfast sausage,ALASKA,2023-01,5.99
598,pork breakfast sausage,ALASKA,2023-02,5.99
599,pork breakfast sausage,ALASKA,2023-03,4.156666666666667
600,pork breakfast sausage,ALASKA,2023-04,6.195
601,pork breakfast sausage,ALASKA,2023-06,5.289999999999999
602,pork breakfast sausage,ALASKA,2023-07,4.99
603,pork breakfast sausage,ALASKA,2023-08,6.073333333333333
604,pork breakfast sausage,ALASKA,2023-09,4.325
605,pork breakfast sausage,ALASKA,2023-10,6.43
606,pork breakfast sausage,ALASKA,2023-11,5.353333333333333
607,pork breakfast sausage,ALASKA,2023-12,4.705
608,pork breakfast sausage,HAWAII,2023-01,3.495
609,pork breakfast sausage,HAWAII,2023-02,4.495
610,pork breakfast sausage,HAWAII,2023-03,3.34
611,pork breakfast sausage,HAWAII,2023-04,5.32
612,pork breakfast sausage,HAWAII,2023-05,3.24
613,pork breakfast sausage,HAWAII,2023-08,5.99
614,pork breakfast sausage,HAWAII,2023-09,6.389999999999999
615,pork breakfast sausage,HAWAII,2023-10,4.55
616,pork breakfast sausage,HAWAII,2023-11,4.285
617,pork breakfast sausage,HAWAII,2023-12,3.99
618,pork breakfast sausage,MIDWEST U.S.,2023-01,3.9274999999999998
619,pork breakfast sausage,MIDWEST U.S.,2023-02,3.7399999999999998
620,pork breakfast sausage,MIDWEST U.S.,2023-03,3.69
621,pork breakfast sausage,MIDWEST U.S.,2023-04,3.6525000000000003
622,pork breakfast sausage,MIDWEST U.S.,2023-05,3.675
623,pork breakfast sausage,MIDWEST U.S.,2023-06,3.6700000000000004
624,pork breakfast sausage,MIDWEST U.S.,2023-07,3.89
625,pork breakfast sausage,MIDWEST U.S.,2023-08,3.7475
626,pork breakfast sausage,MIDWEST U.S.,2023-09,4.0920000000000005
627,pork breakfast sausage,MIDWEST U.S.,2023-10,4.1225000000000005
628,pork breakfast sausage,MIDWEST U.S.,2023-11,3.7275
629,pork breakfast sausage,MIDWEST U.S.,2023-12,3.63
630,pork breakfast sausage,NATIONAL,2023-01,3.9725
631,pork breakfast sausage,NATIONAL,2023-02,3.715
632,pork breakfast sausage,NATIONAL,2023-03,3.846
633,pork breakfast sausage,NATIONAL,2023-04,3.8175000000000003
